region,year,rneo2
5_emr,2000,0.000405988103011623
6_wpr,2000,0.0006303505506366491
1_afr,2000,0.06746593862771988
2_amr,2000,0.0024312094319611788
3_sear,2000,0.0036283195950090885
4_eur,2000,0.0006964478525333107
5_emr,2001,0.0004402148479130119
2_amr,2001,0.0024966252967715263
3_sear,2001,0.0034741461277008057
6_wpr,2001,0.0006879724096506834
1_afr,2001,0.06651514768600464
4_eur,2001,0.0005656553548760712
5_emr,2002,0.0004883184446953237
3_sear,2002,0.0032800633925944567
4_eur,2002,0.0006180608179420233
1_afr,2002,0.06477653235197067
6_wpr,2002,0.0007306747138500214
2_amr,2002,0.0027199641335755587
6_wpr,2003,0.0007590074092149734
4_eur,2003,0.0006759802345186472
3_sear,2003,0.003051062813028693
1_afr,2003,0.062459465116262436
5_emr,2003,0.0005069229518994689
2_amr,2003,0.0017796127358451486
4_eur,2004,0.0006371175404638052
5_emr,2004,0.0005182901513762772
6_wpr,2004,0.0007735196268185973
1_afr,2004,0.05955434963107109
3_sear,2004,0.002817740198224783
2_amr,2004,0.0019487690879032016
4_eur,2005,0.0005977374385111034
2_amr,2005,0.0015968988882377744
6_wpr,2005,0.0007629423635080457
5_emr,2005,0.00053949817083776
3_sear,2005,0.002565751550719142
1_afr,2005,0.05601209029555321
1_afr,2006,0.052639253437519073
2_amr,2006,0.0014595715329051018
5_emr,2006,0.0005506080342456698
4_eur,2006,0.000548510579392314
3_sear,2006,0.0023540188558399677
6_wpr,2006,0.0007348231738433242
5_emr,2007,0.0005673759733326733
1_afr,2007,0.0480225570499897
6_wpr,2007,0.0007348890649154782
2_amr,2007,0.0023881897795945406
3_sear,2007,0.0021478738635778427
4_eur,2007,0.0006349221803247929
5_emr,2008,0.00057840725639835
6_wpr,2008,0.0006413758383132517
3_sear,2008,0.0019122344674542546
2_amr,2008,0.0012593495193868876
4_eur,2008,0.0005231245304457843
1_afr,2008,0.04348442703485489
5_emr,2009,0.000582048436626792
1_afr,2009,0.03935246914625168
6_wpr,2009,0.0005047812010161579
4_eur,2009,0.0003049600636586547
2_amr,2009,0.0014777545584365726
3_sear,2009,0.0017025736160576344
6_wpr,2010,0.00037299428367987275
4_eur,2010,0.0002671242109499872
1_afr,2010,0.035606030374765396
3_sear,2010,0.0015980628086254
2_amr,2010,0.001526305335573852
5_emr,2010,0.0005672050174325705
1_afr,2011,0.034140173345804214
4_eur,2011,0.0002650188689585775
5_emr,2011,0.0005818385980091989
3_sear,2011,0.001453951233997941
2_amr,2011,0.00113395182415843
6_wpr,2011,0.00031438085716217756
2_amr,2012,0.0012367519084364176
6_wpr,2012,0.0002776933542918414
5_emr,2012,0.0006060285377316177
3_sear,2012,0.0013643975835293531
1_afr,2012,0.031008096411824226
4_eur,2012,0.0002795116452034563
1_afr,2013,0.026231572031974792
5_emr,2013,0.0006081325118429959
2_amr,2013,0.0009377588285133243
4_eur,2013,0.00030433147912845016
3_sear,2013,0.0013404922792688012
6_wpr,2013,0.0002695530711207539
2_amr,2014,0.0009192990837618709
5_emr,2014,0.0006262949318625033
3_sear,2014,0.0012689358554780483
4_eur,2014,0.0003210487775504589
1_afr,2014,0.02227270044386387
6_wpr,2014,0.00023034942569211125
2_amr,2015,0.001097475877031684
4_eur,2015,0.0004438962787389755
6_wpr,2015,0.00021010891941841692
1_afr,2015,0.019549725577235222
5_emr,2015,0.0006201629294082522
3_sear,2015,0.0012373770587146282
2_amr,2016,0.0011528596514835954
1_afr,2016,0.018646322190761566
3_sear,2016,0.0011453891638666391
5_emr,2016,0.0006355697987601161
6_wpr,2016,0.00022598607756663114
4_eur,2016,0.0004700384452007711
1_afr,2017,0.018243789672851562
2_amr,2017,0.0012467545457184315
4_eur,2017,0.0005757541512139142
3_sear,2017,0.0010356574784964323
5_emr,2017,0.0006381417042575777
6_wpr,2017,0.00022298305702861398
