region,year,post8
5_emr,2000,4361.0
6_wpr,2000,3132.0
1_afr,2000,642947.0273608363
2_amr,2000,189.0
3_sear,2000,5644.0
4_eur,2000,1.6092292586073307
5_emr,2001,4426.0
2_amr,2001,170.0
3_sear,2001,5924.0
6_wpr,2001,2586.0
1_afr,2001,643817.2114177116
4_eur,2001,0.0
5_emr,2002,4518.0
3_sear,2002,5517.0
4_eur,2002,0.0
1_afr,2002,643371.4582847452
6_wpr,2002,2081.0
2_amr,2002,146.0
6_wpr,2003,2331.0
4_eur,2003,0.0
3_sear,2003,5923.0
1_afr,2003,634786.2518826313
5_emr,2003,4140.0
2_amr,2003,141.0
4_eur,2004,1.634932333794123
5_emr,2004,3910.0
6_wpr,2004,2910.0
1_afr,2004,627560.5152994135
3_sear,2004,6264.0
2_amr,2004,136.0
4_eur,2005,1.1343454471069563
2_amr,2005,138.0
6_wpr,2005,2034.0
5_emr,2005,4383.0
3_sear,2005,6866.0
1_afr,2005,601590.0541757323
1_afr,2006,579295.5233351047
2_amr,2006,120.59050738952439
5_emr,2006,3579.0
4_eur,2006,0.0
3_sear,2006,5308.0
6_wpr,2006,2194.0
5_emr,2007,3320.0
1_afr,2007,543599.38040937
6_wpr,2007,1768.0
2_amr,2007,97.0
3_sear,2007,5150.0
4_eur,2007,0.0
5_emr,2008,2293.0
6_wpr,2008,1680.0
3_sear,2008,5448.0
2_amr,2008,97.0
4_eur,2008,0.0
1_afr,2008,498821.9964405017
5_emr,2009,2121.0
1_afr,2009,465614.7846830666
6_wpr,2009,2600.0
4_eur,2009,0.0
2_amr,2009,96.6327007599441
3_sear,2009,5193.0
6_wpr,2010,1567.9440249090815
4_eur,2010,0.6112103615887463
1_afr,2010,430718.6702963051
3_sear,2010,6031.0
2_amr,2010,109.0
5_emr,2010,2555.0
1_afr,2011,393723.71004837484
4_eur,2011,1.1318710399791598
5_emr,2011,2157.0
3_sear,2011,4895.0
2_amr,2011,106.71312494727212
6_wpr,2011,1321.0
2_amr,2012,93.0
6_wpr,2012,1773.0
5_emr,2012,2203.0
3_sear,2012,4680.0
1_afr,2012,360584.3909368347
4_eur,2012,1.3565187375411767
1_afr,2013,334277.43066872907
5_emr,2013,2041.0
2_amr,2013,93.0
4_eur,2013,1.3725672985058037
3_sear,2013,3102.0
6_wpr,2013,2534.0
2_amr,2014,65.62367625262814
5_emr,2014,2571.0
3_sear,2014,2289.0
4_eur,2014,0.0
1_afr,2014,311910.79580910964
6_wpr,2014,2268.0
2_amr,2015,69.0
4_eur,2015,0.0
6_wpr,2015,1115.0
1_afr,2015,292421.3629804379
5_emr,2015,2475.0
3_sear,2015,2198.0
2_amr,2016,102.0
1_afr,2016,272566.50316950795
3_sear,2016,2259.0
5_emr,2016,2254.0
6_wpr,2016,1659.0
4_eur,2016,0.4233648553422653
1_afr,2017,257076.30590554103
2_amr,2017,143.55616952358488
4_eur,2017,0.41314155627860266
3_sear,2017,2031.0
5_emr,2017,2288.0
6_wpr,2017,1640.0
