region,year,rneo7
5_emr,2000,0.8340299725532532
6_wpr,2000,0.043243296444416046
1_afr,2000,0.7085713148117065
2_amr,2000,0.03497348725795746
3_sear,2000,0.5101218819618225
4_eur,2000,0.08891354501247406
5_emr,2001,0.8574705123901367
2_amr,2001,0.031619876623153687
3_sear,2001,0.4946625232696533
6_wpr,2001,0.04001310095191002
1_afr,2001,0.7032955884933472
4_eur,2001,0.08207506686449051
5_emr,2002,0.868333637714386
3_sear,2002,0.4790889322757721
4_eur,2002,0.0751691684126854
1_afr,2002,0.6896010637283325
6_wpr,2002,0.03750135377049446
2_amr,2002,0.028993910178542137
6_wpr,2003,0.03464776277542114
4_eur,2003,0.06825897097587585
3_sear,2003,0.464448481798172
1_afr,2003,0.6838966012001038
5_emr,2003,0.8735445141792297
2_amr,2003,0.02714897319674492
4_eur,2004,0.06329502165317535
5_emr,2004,0.8815374970436096
6_wpr,2004,0.031059851869940758
1_afr,2004,0.6706571578979492
3_sear,2004,0.44806402921676636
2_amr,2004,0.0261607114225626
4_eur,2005,0.061473917216062546
2_amr,2005,0.025317305698990822
6_wpr,2005,0.027700133621692657
5_emr,2005,0.8745355606079102
3_sear,2005,0.4251939356327057
1_afr,2005,0.6540696620941162
1_afr,2006,0.6486995220184326
2_amr,2006,0.024908866733312607
5_emr,2006,0.8708133101463318
4_eur,2006,0.05635998025536537
3_sear,2006,0.41990768909454346
6_wpr,2006,0.024526553228497505
5_emr,2007,0.8570557236671448
1_afr,2007,0.6375526189804077
6_wpr,2007,0.022791357710957527
2_amr,2007,0.02292051538825035
3_sear,2007,0.4095498025417328
4_eur,2007,0.05280691757798195
5_emr,2008,0.8332907557487488
6_wpr,2008,0.02286425046622753
3_sear,2008,0.3979339301586151
2_amr,2008,0.023982388898730278
4_eur,2008,0.04907716438174248
1_afr,2008,0.6193176507949829
5_emr,2009,0.8163380026817322
1_afr,2009,0.6031592488288879
6_wpr,2009,0.0222151018679142
4_eur,2009,0.04699403792619705
2_amr,2009,0.0247966181486845
3_sear,2009,0.37726229429244995
6_wpr,2010,0.0217458363622427
4_eur,2010,0.04531648010015488
1_afr,2010,0.5698093771934509
3_sear,2010,0.35898661613464355
2_amr,2010,0.024987028911709785
5_emr,2010,0.7887764573097229
1_afr,2011,0.5304312109947205
4_eur,2011,0.041659027338027954
5_emr,2011,0.7414911985397339
3_sear,2011,0.3420447111129761
2_amr,2011,0.022667240351438522
6_wpr,2011,0.021709879860281944
2_amr,2012,0.02348928153514862
6_wpr,2012,0.020989030599594116
5_emr,2012,0.7025585770606995
3_sear,2012,0.31873321533203125
1_afr,2012,0.5017896294593811
4_eur,2012,0.038582444190979004
1_afr,2013,0.47794467210769653
5_emr,2013,0.6742920279502869
2_amr,2013,0.02138431742787361
4_eur,2013,0.035090941935777664
3_sear,2013,0.30116987228393555
6_wpr,2013,0.02044842205941677
2_amr,2014,0.020982734858989716
5_emr,2014,0.6532922387123108
3_sear,2014,0.2788003981113434
4_eur,2014,0.03331155702471733
1_afr,2014,0.46392226219177246
6_wpr,2014,0.02003827877342701
2_amr,2015,0.02067517675459385
4_eur,2015,0.0312065239995718
6_wpr,2015,0.019376713782548904
1_afr,2015,0.44569340348243713
5_emr,2015,0.6355323195457458
3_sear,2015,0.25602179765701294
2_amr,2016,0.020279712975025177
1_afr,2016,0.4334717392921448
3_sear,2016,0.24029293656349182
5_emr,2016,0.6201103329658508
6_wpr,2016,0.018488546833395958
4_eur,2016,0.029718320816755295
1_afr,2017,0.4198256731033325
2_amr,2017,0.019959090277552605
4_eur,2017,0.0280427448451519
3_sear,2017,0.23091401159763336
5_emr,2017,0.6011183857917786
6_wpr,2017,0.017647992819547653
