region,year,age_group,cause,fraction_of_deaths
2_amr,2012,u5,16,0.09041555970907211
6_wpr,2012,u5,16,0.07578512281179428
5_emr,2012,u5,16,0.04722321406006813
3_sear,2012,u5,16,0.0369441881775856
1_afr,2012,u5,16,0.032135408371686935
4_eur,2012,u5,16,0.11844295263290405
1_afr,2013,u5,16,0.03302114084362984
5_emr,2013,u5,16,0.050406310707330704
2_amr,2013,u5,16,0.0893908366560936
4_eur,2013,u5,16,0.11188586056232452
3_sear,2013,u5,16,0.03702358901500702
6_wpr,2013,u5,16,0.07551833242177963
2_amr,2014,u5,16,0.08776762336492538
5_emr,2014,u5,16,0.05093713477253914
3_sear,2014,u5,16,0.036650124937295914
4_eur,2014,u5,16,0.11124496161937714
1_afr,2014,u5,16,0.0349235013127327
6_wpr,2014,u5,16,0.0752810463309288
2_amr,2015,u5,16,0.08768659085035324
4_eur,2015,u5,16,0.10968443751335144
6_wpr,2015,u5,16,0.07705403119325638
1_afr,2015,u5,16,0.03575114533305168
5_emr,2015,u5,16,0.05167364329099655
3_sear,2015,u5,16,0.0373961515724659
2_amr,2016,u5,16,0.08795204013586044
1_afr,2016,u5,16,0.03645014017820358
3_sear,2016,u5,16,0.037400368601083755
5_emr,2016,u5,16,0.05263959616422653
6_wpr,2016,u5,16,0.07707913964986801
4_eur,2016,u5,16,0.11169973760843277
1_afr,2017,u5,16,0.03723811358213425
2_amr,2017,u5,16,0.08765105903148651
4_eur,2017,u5,16,0.11285800486803055
3_sear,2017,u5,16,0.03734036535024643
5_emr,2017,u5,16,0.05373740568757057
6_wpr,2017,u5,16,0.07782573997974396
5_emr,2000,u5,17,0.04758904501795769
6_wpr,2000,u5,17,0.12568248808383942
1_afr,2000,u5,17,0.03149921074509621
2_amr,2000,u5,17,0.06524544954299927
3_sear,2000,u5,17,0.03663933277130127
4_eur,2000,u5,17,0.06130882725119591
5_emr,2001,u5,17,0.04834840074181557
2_amr,2001,u5,17,0.06676483154296875
3_sear,2001,u5,17,0.03706842660903931
6_wpr,2001,u5,17,0.12228767573833466
1_afr,2001,u5,17,0.032224804162979126
4_eur,2001,u5,17,0.06179933622479439
5_emr,2002,u5,17,0.049071215093135834
3_sear,2002,u5,17,0.03771015256643295
4_eur,2002,u5,17,0.06182990223169327
1_afr,2002,u5,17,0.0329732783138752
6_wpr,2002,u5,17,0.11820872128009796
2_amr,2002,u5,17,0.06886526197195053
6_wpr,2003,u5,17,0.11535019427537918
4_eur,2003,u5,17,0.061843737959861755
3_sear,2003,u5,17,0.03812588006258011
1_afr,2003,u5,17,0.03323497623205185
5_emr,2003,u5,17,0.049720775336027145
2_amr,2003,u5,17,0.06747421622276306
4_eur,2004,u5,17,0.063999705016613
5_emr,2004,u5,17,0.05097109079360962
6_wpr,2004,u5,17,0.11354978382587433
1_afr,2004,u5,17,0.035675421357154846
3_sear,2004,u5,17,0.04894446209073067
2_amr,2004,u5,17,0.06980540603399277
4_eur,2005,u5,17,0.06398556381464005
2_amr,2005,u5,17,0.07078734040260315
6_wpr,2005,u5,17,0.11532025784254074
5_emr,2005,u5,17,0.05200513079762459
3_sear,2005,u5,17,0.03946371376514435
1_afr,2005,u5,17,0.03573422506451607
1_afr,2006,u5,17,0.03898823633790016
2_amr,2006,u5,17,0.07238053530454636
5_emr,2006,u5,17,0.05296944081783295
4_eur,2006,u5,17,0.062494900077581406
3_sear,2006,u5,17,0.039492666721343994
6_wpr,2006,u5,17,0.11627247929573059
5_emr,2007,u5,17,0.054161377251148224
1_afr,2007,u5,17,0.04106287285685539
6_wpr,2007,u5,17,0.1157597228884697
2_amr,2007,u5,17,0.07155168056488037
3_sear,2007,u5,17,0.04063411429524422
4_eur,2007,u5,17,0.062272388488054276
5_emr,2008,u5,17,0.05557266250252724
6_wpr,2008,u5,17,0.11767758429050446
3_sear,2008,u5,17,0.05002327635884285
2_amr,2008,u5,17,0.07108253240585327
4_eur,2008,u5,17,0.06348497420549393
1_afr,2008,u5,17,0.04239128902554512
5_emr,2009,u5,17,0.056544024497270584
1_afr,2009,u5,17,0.04488631710410118
6_wpr,2009,u5,17,0.11638102680444717
4_eur,2009,u5,17,0.06395699828863144
2_amr,2009,u5,17,0.07282771915197372
3_sear,2009,u5,17,0.041343893855810165
6_wpr,2010,u5,17,0.11549896746873856
4_eur,2010,u5,17,0.06705932319164276
1_afr,2010,u5,17,0.04717886075377464
3_sear,2010,u5,17,0.042129289358854294
2_amr,2010,u5,17,0.18093544244766235
5_emr,2010,u5,17,0.05732502415776253
1_afr,2011,u5,17,0.049078814685344696
4_eur,2011,u5,17,0.06619125604629517
5_emr,2011,u5,17,0.05726615712046623
3_sear,2011,u5,17,0.04243559390306473
2_amr,2011,u5,17,0.07441287487745285
6_wpr,2011,u5,17,0.11636602878570557
2_amr,2012,u5,17,0.07512495666742325
6_wpr,2012,u5,17,0.116668701171875
5_emr,2012,u5,17,0.059009745717048645
3_sear,2012,u5,17,0.04310108348727226
1_afr,2012,u5,17,0.051440633833408356
4_eur,2012,u5,17,0.06732536852359772
1_afr,2013,u5,17,0.053291283547878265
5_emr,2013,u5,17,0.06201839819550514
2_amr,2013,u5,17,0.07474260032176971
4_eur,2013,u5,17,0.07011479884386063
3_sear,2013,u5,17,0.04387841001152992
6_wpr,2013,u5,17,0.11573135107755661
2_amr,2014,u5,17,0.07460003346204758
5_emr,2014,u5,17,0.06232178211212158
3_sear,2014,u5,17,0.04365920275449753
4_eur,2014,u5,17,0.07023259997367859
1_afr,2014,u5,17,0.05684872344136238
6_wpr,2014,u5,17,0.11454082280397415
2_amr,2015,u5,17,0.07621445506811142
4_eur,2015,u5,17,0.069551482796669
6_wpr,2015,u5,17,0.1177632287144661
1_afr,2015,u5,17,0.05857757106423378
5_emr,2015,u5,17,0.06562832742929459
3_sear,2015,u5,17,0.04496653005480766
2_amr,2016,u5,17,0.07512135058641434
1_afr,2016,u5,17,0.06000286340713501
3_sear,2016,u5,17,0.04550861567258835
5_emr,2016,u5,17,0.06504733115434647
6_wpr,2016,u5,17,0.11694289743900299
4_eur,2016,u5,17,0.07050999999046326
1_afr,2017,u5,17,0.06153678894042969
2_amr,2017,u5,17,0.07624779641628265
4_eur,2017,u5,17,0.07099435478448868
3_sear,2017,u5,17,0.04561774805188179
5_emr,2017,u5,17,0.06502191722393036
6_wpr,2017,u5,17,0.11730256676673889
